phase	kind	file	line	target	change	text
p002	c-include	src/drivers/gpu/i915/display/takeover.c	76	include/drivers/pci.h	drivers/pci.h -> drivers/pci/pci.h	#include <drivers/pci.h>
p002	c-include	src/drivers/gpu/i915/dma.c	23	include/drivers/dma.h	drivers/dma.h -> drivers/generic/dma.h	#include <drivers/dma.h>
p002	c-include	src/drivers/gpu/i915/gt.h	19	include/drivers/dma.h	drivers/dma.h -> drivers/generic/dma.h	#include <drivers/dma.h>
p002	c-include	src/drivers/gpu/i915/gt.h	20	include/drivers/pci.h	drivers/pci.h -> drivers/pci/pci.h	#include <drivers/pci.h>
p002	c-include	src/drivers/gpu/i915/i915.c	27	include/drivers/gpu.h	drivers/gpu.h -> drivers/gpu/gpu.h	#include <drivers/gpu.h>
p002	c-include	src/drivers/gpu/i915/i915.c	28	include/drivers/i915.h	drivers/i915.h -> drivers/pci/pci-i915.h	#include <drivers/i915.h>
p002	c-include	src/drivers/gpu/i915/i915.c	29	include/drivers/pci.h	drivers/pci.h -> drivers/pci/pci.h	#include <drivers/pci.h>
p002	c-include	src/drivers/gpu/i915/i915.h	19	include/drivers/gpu.h	drivers/gpu.h -> drivers/gpu/gpu.h	#include <drivers/gpu.h>
p002	c-include	src/drivers/gpu/i915/i915.h	20	include/drivers/pci.h	drivers/pci.h -> drivers/pci/pci.h	#include <drivers/pci.h>
p002	c-include	src/drivers/gpu/i915/job.c	25	include/drivers/gpu.h	drivers/gpu.h -> drivers/gpu/gpu.h	#include <drivers/gpu.h>
p002	c-include	src/drivers/gpu/i915/memory.c	26	include/drivers/dma.h	drivers/dma.h -> drivers/generic/dma.h	#include <drivers/dma.h>
p002	c-include	src/drivers/gpu/i915/memory.h	33	include/drivers/dma.h	drivers/dma.h -> drivers/generic/dma.h	#include <drivers/dma.h>
p002	c-include	src/drivers/gpu/i915/pci.c	21	include/drivers/pci.h	drivers/pci.h -> drivers/pci/pci.h	#include <drivers/pci.h>
p002	c-include	src/drivers/gpu/i915/request-queue.c	20	include/drivers/gpu.h	drivers/gpu.h -> drivers/gpu/gpu.h	#include <drivers/gpu.h>
p002	c-include	src/drivers/gpu/i915/reset.c	29	include/drivers/gpu.h	drivers/gpu.h -> drivers/gpu/gpu.h	#include <drivers/gpu.h>
p002	c-include	src/drivers/gpu/i915/resource.c	28	include/drivers/gpu.h	drivers/gpu.h -> drivers/gpu/gpu.h	#include <drivers/gpu.h>
p002	c-include	src/drivers/gpu/i915/resource.c	29	include/drivers/gpu-share.h	drivers/gpu-share.h -> drivers/gpu/gpu-share.h	#include <drivers/gpu-share.h>
p002	c-include	src/drivers/gpu/i915/session.c	27	include/drivers/gpu.h	drivers/gpu.h -> drivers/gpu/gpu.h	#include <drivers/gpu.h>
p002	c-include	src/drivers/gpu/i915/tests/contracts/host_unreached.c	23	include/drivers/dma.h	drivers/dma.h -> drivers/generic/dma.h	#include <drivers/dma.h>
p002	c-include	src/drivers/gpu/i915/tests/contracts/host_unreached.c	24	include/drivers/pci.h	drivers/pci.h -> drivers/pci/pci.h	#include <drivers/pci.h>
p002	c-include	src/drivers/gpu/i915/tests/display/host-kernel.c	45	include/drivers/pci.h	drivers/pci.h -> drivers/pci/pci.h	#include <drivers/pci.h>
p002	c-include	src/drivers/gpu/i915/tests/display/lcd-show-ktest.c	55	include/drivers/dma.h	drivers/dma.h -> drivers/generic/dma.h	#include <drivers/dma.h>
p002	c-include	src/drivers/gpu/i915/tests/display/lcdg-ktest.c	46	include/drivers/dma.h	drivers/dma.h -> drivers/generic/dma.h	#include <drivers/dma.h>
p002	c-include	src/drivers/gpu/i915/tests/display/scanout-ktest.c	28	include/drivers/dma.h	drivers/dma.h -> drivers/generic/dma.h	#include <drivers/dma.h>
p002	c-include	src/drivers/gpu/i915/tests/execution/ktest-gt.c	53	include/drivers/dma.h	drivers/dma.h -> drivers/generic/dma.h	#include <drivers/dma.h>
p002	c-include	src/drivers/gpu/i915/tests/render/compiler.c	44	include/drivers/gpu.h	drivers/gpu.h -> drivers/gpu/gpu.h	#include <drivers/gpu.h>
p002	c-include	src/drivers/gpu/i915/tests/render/executor.c	42	include/drivers/gpu.h	drivers/gpu.h -> drivers/gpu/gpu.h	#include <drivers/gpu.h>
p002	c-include	src/drivers/gpu/i915/tests/render/features.c	47	include/drivers/gpu.h	drivers/gpu.h -> drivers/gpu/gpu.h	#include <drivers/gpu.h>
p002	c-include	src/drivers/gpu/i915/tests/render/generality.c	57	include/drivers/gpu.h	drivers/gpu.h -> drivers/gpu/gpu.h	#include <drivers/gpu.h>
