old	new
intel_ax211_runtime_profile_from_manifest	drv_intel_ax211_runtime_profile_from_manifest
intel_ax211_runtime_start_cleanup	drv_intel_ax211_runtime_start_cleanup
intel_ax211_runtime_start_init	drv_intel_ax211_runtime_start_init
intel_ax211_runtime_start_mcc	drv_intel_ax211_runtime_start_mcc
intel_ax211_runtime_start_run	drv_intel_ax211_runtime_start_run
intel_ax211_runtime_start_stop	drv_intel_ax211_runtime_start_stop
intel_ax211_rx_api89_validate	drv_intel_ax211_rx_api89_validate
intel_ax211_rx_completion_descriptor_decode	drv_intel_ax211_rx_completion_descriptor_decode
intel_ax211_rx_mpdu_decode	drv_intel_ax211_rx_mpdu_decode
intel_ax211_rx_transfer_descriptor_encode	drv_intel_ax211_rx_transfer_descriptor_encode
intel_ax211_scan_abort_encode	drv_intel_ax211_scan_abort_encode
intel_ax211_scan_api89_validate	drv_intel_ax211_scan_api89_validate
intel_ax211_scan_begin	drv_intel_ax211_scan_begin
intel_ax211_scan_event_accept	drv_intel_ax211_scan_event_accept
intel_ax211_scan_expire	drv_intel_ax211_scan_expire
intel_ax211_scan_profile_from_nvm	drv_intel_ax211_scan_profile_from_nvm
intel_ax211_scan_request_ack	drv_intel_ax211_scan_request_ack
intel_ax211_scan_request_encode	drv_intel_ax211_scan_request_encode
intel_ax211_scan_session_abort	drv_intel_ax211_scan_session_abort
intel_ax211_scan_session_abort_ack	drv_intel_ax211_scan_session_abort_ack
intel_ax211_scan_session_begin_channel	drv_intel_ax211_scan_session_begin_channel
intel_ax211_scan_session_expire	drv_intel_ax211_scan_session_expire
intel_ax211_scan_session_init	drv_intel_ax211_scan_session_init
intel_ax211_scan_session_notification	drv_intel_ax211_scan_session_notification
intel_ax211_scan_session_start_ack	drv_intel_ax211_scan_session_start_ack
intel_ax211_scrub	drv_intel_ax211_scrub
intel_ax211_sku_equal	drv_intel_ax211_sku_equal
intel_ax211_staging_clear	drv_intel_ax211_staging_clear
intel_ax211_staging_set	drv_intel_ax211_staging_set
intel_ax211_tfd_encode	drv_intel_ax211_tfd_encode
intel_ax211_transport_activate_rx	drv_intel_ax211_transport_activate_rx
