path	explanation-source	had-bom	body-sha256	explanation
userland/base/rtld/rtld.c	retained	no	f520f71924c05e16f32c1aafcd9ad00f3add2918b5df781e7c9fbab794e98133	zedBSD ELF runtime linker
userland/base/rtld/rtld.h	generated	no	a5199748d7dd22729b1737f3155c4dde705b0a5c348e4e1358d08e5c439ac0af	Declares the zedBSD userland rtld interface.
userland/base/rtld/string.c	generated	no	ed7ce7fc4c8b69ad84604d763db24850f3bce7b9fc79d215c8f1a2fc5c8e5b95	Implements the zedBSD userland string component.
userland/base/rtld/tlsdesc-amd64.S	generated	no	590d0c109439f2f006df6b9d464fb239bcc4f14485394d64f03efdcc17df7015	Implements the amd64 runtime-linker TLSDESC resolver.
userland/base/rtld/tlsdesc-arm64.S	generated	no	1832b6ec082c09e3f42fcda7dfa0a499616433ed937b9c6e382e38d1a51b1811	Implements the arm64 runtime-linker TLSDESC resolver.
userland/base/sccs/main.c	generated	no	c3b43ef8c3a7b005620a73ff522fd963e315df8ff95d47091706e2ef7cad9b6c	Implements the zedBSD sccs userland command.
userland/base/sed/main.c	generated	no	1c920b75dc9dbbeb1a2d3d473d8b3c02893e83452b56abb020040c3018d83830	Implements the zedBSD sed userland command.
userland/base/service/main.c	generated	no	ec988d52fb7d2096eee7a90d008bc330f5c817d6c47060fd8a0b4026c93f101a	Implements the zedBSD service userland command.
userland/base/service/rcconf.c	generated	no	6470b04d0b14dae8538674ea3fcae46a397afbb9884cd06893df8ee5312f9a19	Implements shared userland service rcconf support.
userland/base/service/rcconf.h	generated	no	b39657bac15d369b7fe554558fc63447d114c50f39b3b5585e0e9e2d6d73d4f6	Declares the zedBSD userland rcconf interface.
userland/base/service/service-command.c	generated	no	e4beff72edaa50cc58f6572a8564b919ee66860b4221c4e652ad99a3e7d3caf4	Implements shared userland service service command support.
userland/base/service/service-command.h	generated	no	b20f14ef108475fcf103fc63e0b1b731ee1a8921f36a1d79729c423c0ff142a8	Declares the zedBSD userland service command interface.
userland/base/service/service-config.c	generated	no	aaa0e9b2d964a9bd2649cc0f18860a5a9fc42f69871c4fc55bb186b9a9b569e0	Implements shared userland service service config support.
userland/base/service/service-config.h	generated	no	96f34230534c1333788aa26cce26bb1cf9f59898af836be8c74aaed8275c2e59	Declares the zedBSD userland service config interface.
userland/base/service/service-console.c	generated	no	094698977830c5da60ddee49f383a86043f58a314179d06039a3df7065360bce	Implements shared userland service service console support.
userland/base/service/service-console.h	generated	no	adaa9c183a31cf93ebd9114458e36afc0430076b1e4afd9eaeaeac8acdd83fac	Declares the zedBSD userland service console interface.
userland/base/service/zsv1-client.c	generated	no	4da967b902ba015d3ab2b6a9647b63205ad98283f3ae309e89db44b4b42e23fb	Implements shared userland service zsv1 client support.
userland/base/service/zsv1-client.h	generated	no	853ca9bbf2d724a9f2f0f22912f20409934e0df9e43b36501521f4d5512bc801	Declares the zedBSD userland zsv1 client interface.
userland/base/service/zsv1-protocol.c	generated	no	4d533a0a34df5303b4ff3827d0fedafd53a825a162a15e3e9ef073ea265b1234	Implements shared userland service zsv1 protocol support.
userland/base/service/zsv1-protocol.h	generated	no	21099b2792e52af27aaea41573830dc3d9e7edb89e2680838a7fde6a362df7b6	Declares the zedBSD userland zsv1 protocol interface.
userland/base/service/zsv1-server.c	generated	no	893046db95356821601c720d6e8fc85af273bdfe922ea4c2085b370bfa09997e	Implements shared userland service zsv1 server support.
userland/base/service/zsv1-server.h	generated	no	a80c2c164bc00139de5fa726b0022a48456899fd4a30cee32dede25732cb5722	Declares the zedBSD userland zsv1 server interface.
userland/base/sh/alias.c	generated	no	47e100d0adeb32ed38653a9c55181e83d3e58fe581a52d86ed1e225433092e67	Implements the zedBSD userland alias component.
userland/base/sh/alias.h	generated	no	3128f05cb5b6d5879229e1940295065216c6251f1035905dda29a7f647d0f9da	Declares the zedBSD userland alias interface.
userland/base/sh/arithmetic.c	generated	no	2793214b95b29b55a2dae87e96f86099a8253a6fa3f8e540a1ed18077ef0a7bc	Implements the zedBSD userland arithmetic component.
userland/base/sh/arithmetic.h	generated	no	e875753730211c3c8b7e1f959aa3ba2b8f610b9f37df612eedbab7b00e661ec3	Declares the zedBSD userland arithmetic interface.
userland/base/sh/builtins.c	generated	no	d4e9dd552e5237094756955adf259b306ab680ff6b61b3a12201c8abf299d7af	Implements the zedBSD userland builtins component.
userland/base/sh/builtins.h	generated	no	cf4f53e745daced9350267dde5bc939fd62495cb8bd600b1ea29fcb54223bc68	Declares the zedBSD userland builtins interface.
userland/base/sh/expand.c	generated	no	d3ddbd8430d6160cb5e0741af744b56eb9fd2fca840677e287e5f0d5837b4f37	Implements the zedBSD userland expand component.
userland/base/sh/expand.h	generated	no	2297fb507992ddde9c868244a71cbd9444cceaf3a0ecb477bacf178c6252cdff	Declares the zedBSD userland expand interface.
userland/base/sh/glob.c	generated	no	a1e287b1a62b20030654d25e3aedc63d5f37f868a874efeb3be467aa6cedfa89	Implements the zedBSD userland glob component.
userland/base/sh/glob.h	generated	no	e3a507ad21e450ccecd02cc7b430e99b4d37ff444353fe1d65a2dd0c4f7d41c5	Declares the zedBSD userland glob interface.
userland/base/sh/lexer.c	generated	no	7acfa43ef1187e505633b54c93a79a0b1d7f5f114baa7f8570eea00178b4130e	Implements the zedBSD userland lexer component.
userland/base/sh/lexer.h	generated	no	2039476bf6da218811a4b2b52ff29cf88bf33fec3e6b62b7e3fe3c8911e4f736	Declares the zedBSD userland lexer interface.
userland/base/sh/main.c	generated	yes	4a804ce61fac7b4df792e99ea71b50e3e23adb944141715d5f0e6df1e8fd1ede	Implements the zedBSD sh userland command.
userland/base/sh/vars.c	generated	no	fc1a6589d6646e49921d51b4e92929b9ce1929f663aa13f8f2822f7fa79efa2a	Implements the zedBSD userland vars component.
userland/base/sh/vars.h	generated	no	082ef59f7a9d662918bd966f40def100fbe993bc58e84c4c47498218e9b1738b	Declares the zedBSD userland vars interface.
userland/base/shutdown-control/main.c	generated	no	b83000a73d1b5d9efdcbe5c229daa444ffb6008b22bfeb3ccf3760239da77541	Implements the zedBSD shutdown control userland command.
userland/base/sleep/main.c	generated	no	980398f6ec099b73d4818d49e4ea9824c984566dc760e978e480608a3904edd5	Implements the zedBSD sleep userland command.
userland/base/sort/main.c	generated	no	e49a6dd2e058b02790621681ad944dbfd4c3c7ddda354329eacedc3c3ea191e3	Implements the zedBSD sort userland command.
userland/base/split/main.c	generated	no	821131d48c8ea55f26bbead08b7ac1624e101ac34950e8916b6f05123610e7d3	Implements the zedBSD split userland command.
userland/base/stat/main.c	generated	no	f8e33f4836bd281b4c258de43184a4910f60dcbd44db245cc21988deb434ca22	Implements the zedBSD stat userland command.
userland/base/strings/main.c	generated	no	48d14d82699e648bf0509ab66acf0495c568e3284d8de02a7f3b0027475e27b6	Implements the zedBSD strings userland command.
userland/base/stty/main.c	generated	no	de6e70bc687ee22968771f6ed1c95a23b8188b892d4c68a0846649fe857c6bca	Implements the zedBSD stty userland command.
userland/base/swap-control/swap-command.h	generated	no	4b525e3971a1f4c1fcd8f1fa32081a2fdcd06c9ef621fa801cb9a9c1aa0dbf46	Declares the zedBSD userland swap command interface.
userland/base/swapoff/main.c	generated	no	d28003e734083594575e475ca09ef2367f6385678a5b7c36434cad840595030e	Implements the zedBSD swapoff userland command.
userland/base/swapon/main.c	generated	no	45115497d1969b60b289cf4584f0764d74076ead682283ddfdfbfcc96912b24c	Implements the zedBSD swapon userland command.
userland/base/sysctl/main.c	generated	no	20473d94c7f1b114c6720c7fbd4cdc586a2431361c4178efda92e287d2db2f8a	Implements the zedBSD sysctl userland command.
userland/base/syslogd/main.c	generated	no	be71d3dfb852adda5f7030999fc60a7fe7cdbb9945f88274d282e512880554a6	Implements the zedBSD syslogd userland command.
userland/base/tabs/main.c	generated	no	796cf81aa10f2969d76d3877caca457642ac9e1df2969f32db4f88bb710b33bf	Implements the zedBSD tabs userland command.
userland/base/tail/main.c	generated	no	8954f0169c4126aa3aabf7f5f949fe29326ff7cd3d55e6c04dae174dac138f3d	Implements the zedBSD tail userland command.
userland/base/tee/main.c	generated	no	cb5b4a5e593db9dabe47abc189505488837d40eb46dd4d915dba697e43467185	Implements the zedBSD tee userland command.
userland/base/tests/dyntest.c	generated	no	f47ec0b95d9276f6af499261788d30b6ee674352c158b02db72a62aed94e8209	Exercises the zedBSD dyntest userland behavior.
userland/base/tests/posix-phase5-helper.c	generated	no	0a5cedb9b8603f23af4cd3bf2c49c457db60350bf4e090fc11cd8e9535510627	Exercises the zedBSD posix phase5 helper userland behavior.
userland/base/tests/posix-r2-remaining.c	generated	no	7e18f29d7408539f202d5da7a46a2085e61a14c1c835b07651383e9c519fb3ff	Exercises the zedBSD posix r2 remaining userland behavior.
userland/base/tests/posix-r2.c	generated	no	87ccc33a7ae405c8d7a408f6b764df4534abab93dedc6b65512932b316497fbf	Exercises the zedBSD posix r2 userland behavior.
userland/base/tests/rpathdep.c	generated	no	9f9df2ecddf922603ca0d9ec033b6361a0783c7ff7b48699d19815e87bba9db7	Exercises the zedBSD rpathdep userland behavior.
userland/base/tests/rpathtest.c	generated	no	e05269b8347c5dc98417cf2ca688a96b23c849ed619b73b2d837928903ce4653	Exercises the zedBSD rpathtest userland behavior.
userland/base/tests/smp-resource-stress.c	retained	no	e4bba574318289314cf7813e4aaefa642e2327a7a107f2c9b2ed340942f1dbef	amd64 SMP lifetime and resource-accounting stress.
userland/base/tests/susv4-xsi.c	retained	no	83e96a9ac0089bdece475a7eb1070502b973b8752928a5ba349f6ea5ec37862d	Focused SUSv4/XSI regression executable for a dedicated test image.
userland/base/tests/syscall-smoke.c	generated	no	97f3e470aa45d60c024d10c99038a0ad60143f68f0b525ac2aa5645904479ae7	Exercises the zedBSD syscall smoke userland behavior.
userland/base/tests/tlstest.c	generated	no	db85b5b08fb173ab75d827dff0af1c93bcc08977b814db8edc83092900fe07a8	Exercises the zedBSD tlstest userland behavior.
userland/base/tests/versiontest.c	generated	no	35ad7ec31f977278014488852e46a42287eeea1aa254df95f15c4d2419889e08	Exercises the zedBSD versiontest userland behavior.
userland/base/tests/versionuse.c	generated	no	40b4d7304145c40e2e0a36470a005d76f4c5c04cbb26a0966974077bd5c04a62	Exercises the zedBSD versionuse userland behavior.
userland/base/tic/main.c	generated	no	2127a5bb8c1015db362a929e64f3ed9e87c4ea59915844e0b66fc94ee077f362	Implements the zedBSD tic userland command.
userland/base/time/main.c	generated	no	2d00892663f26f2ed827eb38bed5005c5e0d2277ae32810784dad847f040ac68	Implements the zedBSD time userland command.
userland/base/timeout/main.c	generated	no	94ba6175dd8d17f03c3b4428027cecd972f78af5d2ea7013eada91a55740f44f	Implements the zedBSD timeout userland command.
userland/base/top/main.c	generated	no	7e8ecbb53a663b853ae8c872116479ae4406b7f59dd68889c6769a054384a0ff	Implements the zedBSD top userland command.
userland/base/touch/main.c	generated	no	434dc28787924cfd588328ba68f70dfcd9b3f0faf09b87997e13dec93838aa54	Implements the zedBSD touch userland command.
userland/base/tput/main.c	generated	no	8cb5f1b88f5b3c65f94b53b9a20c8f7edf5ba62319adfbbcdf2e2fff123f34cc	Implements the zedBSD tput userland command.
userland/base/tr/main.c	generated	no	cf5a07c83291145190289c0d7b0ce5e51932971864838db7db65f0c3937d67ab	Implements the zedBSD tr userland command.
userland/base/truncate/main.c	generated	no	751a4ba5d436aa43b58fe7e9402c9ba34abc8bafdec13962b9960326a54a96d1	Implements the zedBSD truncate userland command.
userland/base/tsort/main.c	generated	no	d3b2ec6fdef2e515e5a4e8ed8c6b4188a379f32cf52fe24b4ff2f6c0fb8f14d4	Implements the zedBSD tsort userland command.
userland/base/tty/main.c	generated	no	ccca1ef0ca94acb6dc3672044337936c03cff9170c52ff6dc294aa8443b87e4d	Implements the zedBSD tty userland command.
userland/base/uname/main.c	generated	no	cd19903f27ee3314b1880d9f1f049f7881069ce3fcca792d75c15ee7a427dd5a	Implements the zedBSD uname userland command.
userland/base/unexpand/main.c	generated	no	1564a7f8ce68391fcca969c4495f72cd7be61a290087f40cad40079361e78ce3	Implements the zedBSD unexpand userland command.
userland/base/uniq/main.c	generated	no	55fb58806b4671f24f985acb78178aa83da2fb5a9c60ec7318999a441a401dcb	Implements the zedBSD uniq userland command.
userland/base/unlink/main.c	generated	no	f27350cf8359f347a356d211b58af1a7be671af713c40b2e2e5e90af680ca267	Implements the zedBSD unlink userland command.
userland/base/uudecode/main.c	generated	no	80f29131a6c39ef0bbcacd43fe3135d10d77a96f182a92c2b05eebef95d01507	Implements the zedBSD uudecode userland command.
userland/base/uuencode/main.c	generated	no	a380210613c064c13b25a18c54c866505a14ad6bb02774ceec976790dbb540e1	Implements the zedBSD uuencode userland command.
userland/base/wc/main.c	generated	no	47dc65cd29cd25ac401d1ca53a248e7138f717c69b4d9f83fadeffaff1c061d5	Implements the zedBSD wc userland command.
userland/base/who/main.c	generated	no	c0a15415243c4d02bed87f281840a98f625d4bc096ff395148ac3edd14ab25d5	Implements the zedBSD who userland command.
userland/base/write/main.c	generated	no	938cdadc79ff2f39df59dbf18078ea638060759885fa0ebaca745a9cb6098bb6	Implements the zedBSD write userland command.
userland/base/x68k-contract.S	retained	no	aef5bbedc3dfdecad08f8dd94fad602de0174dcc349fb0d49697b4225c1e8028	m68k soft-float user ABI link contract fixture.
userland/base/xargs/main.c	generated	no	515bb1c68ee3b675cf1c44a5c7ea9436155d12b1ae64819c2b8ab02280f539da	Implements the zedBSD xargs userland command.
userland/packages/lang/noct/runtime/env.c	retained	no	5504f5e24dc77944e1d3d7ba1745a8be0c7e3c4b6a2272ed0d55e6e95c19b35a	zedBSD persistent environment store
userland/packages/lang/noct/runtime/main.c	generated	no	8e7bc0b3c56484546c9c14aa43e909a23d061d1c9a4a4a494b4b823b52f7fcbe	Implements the zedBSD runtime userland command.
userland/packages/lang/noct/runtime/memory.c	generated	no	b0499b9d43dffc32e8e8d8901c22e785678e85002c6ee207359ec07717ebf830	Implements the zedBSD package memory component.
userland/packages/lang/noct/runtime/memory.h	generated	no	1ac9346c9e7663c8d3b95de05c0c1a945296b2fe57c15dc41e0a5187397fdd0a	Declares the zedBSD userland memory interface.
userland/packages/lang/noct/runtime/napi.c	retained	no	ecbba7bd5ab664a166cab1e70d6ed7e55647ecc57679aeb7624297700e47f117	zedBSD Noct native APIs
userland/packages/lang/noct/runtime/platform.c	generated	no	209d58f0be1d4c03183b41526f1aaab2747e7163dcaba33112d9065acc0cedee	Implements the zedBSD package platform component.
userland/packages/lang/noct/runtime/target.c	retained	no	c9299ba119f76b513ee3a413e95806c96fafb34bf581981fbd37bdf167d37c9a	zedBSD Noct target adapters
userland/packages/lang/noct/runtime/zedbsd-api.h	generated	no	12568724dd1bda3727b74601f40073519024cfd34c93f175a33d38c53a6c9f0c	Declares the zedBSD userland zedbsd api interface.
