path	explanation-source	had-bom	body-sha256	explanation
userland/base/diff/main.c	generated	no	7627962bb43f5dfc74f58d4c0408e84b79ec9871a8e214499f0ce9e8aa196d0b	Implements the zedBSD diff userland command.
userland/base/dirname/main.c	generated	no	e185727804458db93500f5057479301997d4e652ec6d79620f3c752c473c62ab	Implements the zedBSD dirname userland command.
userland/base/dmesg/main.c	generated	no	a6fa26847ec6cc38e3bdb4c1f2976291030a9e2b36f637c74501f4a542cb9660	Implements the zedBSD dmesg userland command.
userland/base/du/main.c	generated	no	720926b56a28ad44aecf8f6dc0a9fd75aea6c9695f21bb4d031c8e1d0300e148	Implements the zedBSD du userland command.
userland/base/ed/buffer.c	generated	no	fd6a7b68ad3353613ab2e6ab3570d0c5ebc07b839699db18ab53f98a4b671081	Implements the zedBSD userland buffer component.
userland/base/ed/editor.h	generated	no	a9a58de6a76b52f493561cac8570fb4d30efd816bbbbf2656a7145eb7414d582	Declares the zedBSD userland editor interface.
userland/base/ed/main.c	generated	no	8f8fe918ff87a2da3916383973ac2730b5f0d0f3bbd9559d00a84c73fba497c2	Implements the zedBSD ed userland command.
userland/base/expand/main.c	generated	no	1d216aab270bf134b8a47ccdc7841a51ea4f77d659c4c67631e7e1dc3279bcad	Implements the zedBSD expand userland command.
userland/base/expr/main.c	generated	no	70e2292d0bb1b1e2816f3cee1b4cf5f86b2f5ad3b23ad4a886db4090b61ebafe	Implements the zedBSD expr userland command.
userland/base/fetch/main.c	retained	no	0f21df889018d38aa42b4c377b61b8ccd76942ee5b343b66c2ee3b5072daed82	Simple HTTP/1.1 file retrieval utility.
userland/base/file/main.c	generated	no	02b225173a2e8fa6648af0379a5280071672b869e866faa1f1150bd4de8b2921	Implements the zedBSD file userland command.
userland/base/find/main.c	generated	no	7012be387339936c10f8b57b8e91208603d0172decf51ceff6e69a64a1e9bcd6	Implements the zedBSD find userland command.
userland/base/fmt/main.c	generated	no	cf6b650c715c067c586923fee2ff4426acbb36e3113877cd7e1335e54c64aa65	Implements the zedBSD fmt userland command.
userland/base/fold/main.c	generated	no	e05c22e61c944b74636d6b2dc9d9a4c6b112ceedb3acedc82e0f6a65659159cc	Implements the zedBSD fold userland command.
userland/base/fuser/main.c	generated	no	99d8251e73eff3f4a2993340194fc718a1da29652bee1c1441da48d1c286c97e	Implements the zedBSD fuser userland command.
userland/base/gencat/main.c	generated	no	df4765c31f24eb609ca40703c7a67280cf1b01a93b799e6386f1ccc1221f31b2	Implements the zedBSD gencat userland command.
userland/base/getconf/getconf-table.h	retained	no	0491176d18a66e14997fdfbe3b315879561ed39e5931e398652bf15c7e175ca4	One maintained mapping for getconf names and their defining interfaces.
userland/base/getconf/main.c	generated	no	b95354bb186bee4ee9f58686191fe3ff8a35d57786f45122a5a0fa39d70b629c	Implements the zedBSD getconf userland command.
userland/base/gettext/main.c	generated	no	757b2c3f6023b72e123745e85dd30bb26d145bf14ca4f9107f5d3c6b60ecfbc1	Implements the zedBSD gettext userland command.
userland/base/getty/main.c	generated	no	91d269f7beff711c860cb8cf55533b50536b2eb5dbc26a77554da9cbaa6411b1	Implements the zedBSD getty userland command.
userland/base/grep/main.c	generated	no	e9a26739a229bf9abff024fcd1467aeaef7118d20be87c2f3cc291fb8f6e74c0	Implements the zedBSD grep userland command.
userland/base/head/main.c	generated	no	1abfc36ee4930d72ffa601b313a18d6f5f8af961851ff0c25c4171d747b8e796	Implements the zedBSD head userland command.
userland/base/host/main.c	generated	no	f9389ea1e20f8d0d5013b63936717268d32df17744e027e62d3eea48412cc209	Implements the zedBSD host userland command.
userland/base/hostname/main.c	generated	no	84717de7c6dea8897dca6861d662da5a779559b86195834955468dab602d3deb	Implements the zedBSD hostname userland command.
userland/base/iconv/main.c	generated	no	3df04e848dd6687d354a8527a7b6f86f86ed8377f1c064656588a19d1708f1cf	Implements the zedBSD iconv userland command.
userland/base/id/main.c	generated	no	c19a974d5b0bbcb7f13f50a63e159c5634d61b635a46a6ad306e61c43263f8d9	Implements the zedBSD id userland command.
userland/base/ifconfig/main.c	generated	no	28dd88f89b1bec79ad12a901e70b4106db12e7407ad4848ec2df1bdc00cfd2ae	Implements the zedBSD ifconfig userland command.
userland/base/infocmp/main.c	generated	no	6e2db3af4d9c47fbc56f2ea903a92c0dce9571930dabc3e2bf6cb2b12125b159	Implements the zedBSD infocmp userland command.
userland/base/init/main.c	generated	no	d81e1233315a408ed3b48d45d9336f878c777f08bf5bfb6d1c11999e92b248f1	Implements the zedBSD init userland command.
userland/base/ipcrm/main.c	generated	no	a86f238fa7b984bb3e3d0dda0175d386e071bde702cd8efe55cc1ff02430e295	Implements the zedBSD ipcrm userland command.
userland/base/ipcs/main.c	generated	no	a9085cdfa7cca1fe99e8b691a172e784bb90bb29f5783f6b0791857644bad84e	Implements the zedBSD ipcs userland command.
userland/base/join/main.c	generated	no	5e3d7a629ddd05be430e99ea3dca97c22aa9bbc99fb5ca0a8c77f2bf5bc855a6	Implements the zedBSD join userland command.
userland/base/kill/main.c	generated	no	8aafe6a5e1669e8fdcfb3c3a902722fba9f3a1370399dfd67b51062679cf5336	Implements the zedBSD kill userland command.
